serial,fsr,emg
455,624,2146
456,832,2255
457,1274,2461
458,1629,2493
459,1714,2591
460,1645,2566
461,1520,2640
462,1551,2611
463,1660,2679
464,1879,2719
465,1968,2736
466,2027,2682
467,2032,2727
468,2086,2669
469,2155,2718
470,2256,2699
471,2330,2672
472,2350,2666
473,2416,2635
474,2432,2671
475,2447,2695
476,2478,2672
477,2502,2622
478,2528,2727
479,2570,2736
480,2611,2767
481,2653,2724
482,2714,2785
483,2750,2797
484,2786,2801
485,2821,2818
486,2856,2803
487,2871,2832
488,2875,2880
489,2896,2742
490,2917,2804
491,2946,2762
492,2965,2853
493,2971,2803
494,2996,2957
495,3023,2944
496,3040,3029
497,3047,2831
498,3045,2934
499,3059,2782
500,3061,2752
501,3067,2752
502,3093,2843
503,3089,2831
504,3099,2788
505,3111,2768
506,3124,2895
507,3135,2786
508,3139,2762
509,3142,2759
510,3138,2699
511,3171,2795
512,3174,2879
513,3186,2727
514,3181,2692
515,3178,2762
516,3187,2862
517,3184,2753
518,3182,2725
519,3183,2727
520,3183,2734
521,3185,2738
522,3185,2703
523,3201,2725
524,3200,2789
525,3201,2830
526,3206,2875
527,3221,2910
528,3227,2825
529,3234,2866
530,3234,2745
531,3225,2838
532,3239,2843
533,3241,2732
534,3237,2803
535,3245,2910
536,3264,2800
537,3286,2775
538,3310,2749
539,3309,2767
540,3303,2768
541,3312,2853
542,3315,2727
543,3314,2736
544,3319,2691
545,3323,2672
546,3331,2757
547,3318,2782
548,3327,2609
549,3339,2674
550,3335,2742
551,3337,2752
552,3339,2801
553,3335,2832
554,3337,2833
555,3325,2800
556,3323,2703
557,3312,2762
558,3312,2725
559,3299,2725
560,3287,2681
561,3262,2678
562,3199,2717
563,3109,2690
564,2986,2704
565,2833,2691
566,2607,2709
567,2307,2719
568,1941,2813
569,1595,2789
570,913,2819
571,682,2723
572,450,2684
573,367,2575
574,243,2576
575,80,2466
576,16,2448
577,13,2405
578,0,2421
579,2,2365
580,0,2394
581,23,2299
582,45,2314
583,0,2240
584,0,2254
585,0,2151
586,0,2131
587,0,2039
588,0,1982
589,0,1821
590,0,1733
591,0,1667
592,0,1650
593,0,1585
594,0,1597
595,0,1552
596,0,1582
597,0,1550
598,0,1531
599,0,1494
600,0,1509
601,0,1482
602,0,1483
603,0,1456
604,0,1459
605,0,1433
606,0,1409
607,0,1405
608,0,1408
609,0,1424
610,0,1425
611,0,1425
612,0,1442
613,0,1450
614,0,1447
615,0,1456
616,0,1455
617,0,1441
618,0,1425
619,0,1430
620,0,1424
621,0,1453
622,0,1441
623,0,1442
624,0,1454
625,0,1467
626,0,1473
627,0,1475
628,0,1451
629,0,1478
630,0,1466
631,0,1457
632,0,1439
633,0,1488
634,0,1471
635,0,1474
636,0,1467
637,0,1472
638,0,1456
639,0,1463
640,0,1446
641,0,1471
642,0,1461
643,0,1470
644,0,1467
645,0,1488
646,0,1479
647,0,1483
648,0,1483
649,0,1485
650,0,1483
651,0,1501
652,0,1493
653,0,1533
654,0,1520
655,0,1518
656,0,1522
657,0,1519
658,0,1534
659,0,1501
660,0,1523
661,0,1552
662,0,1519
663,0,1473
664,0,1477
665,0,1482
666,0,1498
667,0,1495
668,0,1515
669,0,1488
670,0,1520
671,0,1504
672,0,1515
673,0,1486
674,0,1527
675,0,1511
676,0,1531
677,0,1495
678,0,1517
679,0,1501
680,0,1519
681,0,1487
682,0,1521
683,0,1501
684,0,1525
685,0,1516
686,0,1549
687,0,1579
688,0,1633
689,0,1728
690,0,1837
691,0,1899
692,35,1962
693,144,2042
694,224,2079
695,274,2165
696,300,2206
697,320,2284
698,375,2304
699,519,2377
700,507,2427
701,532,2474
702,634,2473
703,890,2589
704,1197,2656
705,1347,2789
706,1413,2868
707,1535,2965
708,1781,2844
709,1954,2891
710,2064,2743
711,2158,2767
712,2293,2759
713,2423,2771
714,2461,2724
715,2490,2767
716,2512,2757
717,2521,2899
718,2576,2804
719,2599,2867
720,2608,2823
721,2626,2863
722,2635,2814
723,2613,2833
724,2587,2845
725,2587,2903
726,2592,2880
727,2595,2898
728,2590,2921
729,2592,2917
730,2595,2910
731,2582,2881
732,2539,2886
733,2517,2928
734,2525,2895
735,2544,2930
736,2522,2953
737,2513,2895
738,2511,2871
739,2501,2878
740,2546,2960
741,2599,2862
742,2606,2894
743,2609,2870
744,2622,2938
745,2633,2810
746,2625,2950
747,2631,2877
748,2640,2999
749,2638,2876
750,2637,2941
751,2657,2858
752,2672,2921
753,2681,2815
754,2687,2901
755,2687,2846
756,2697,2886
757,2687,2841
758,2689,2915
759,2684,2837
760,2680,2842
761,2675,2839
762,2687,2943
763,2685,2896
764,2703,2960
765,2707,2947
766,2725,2949
767,2741,2939
768,2753,2917
769,2767,2928
770,2773,2960
771,2786,2906
772,2795,2922
773,2802,2879
774,2818,2871
775,2813,2933
776,2815,2897
777,2823,2994
778,2819,2960
